Place ID,Name,Review,Time,Rating
ChIJowswABv9DDkRlIwWegNm4LA,nilesh jain,Best palce to eat when you are in delhi ncr,a month ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Mradul Chaturvedi,"Food is just really good , the main attraction food of this place is raj kachori , it is just awesome , and mouth watering..",a month ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,ANKUR TRIPATHI,"A cosmopolitan pure veg brand is present in the heart of Chandni chowk serving best of its variety of cuisines with the similar tastes ranging from north to south with most reasonable and affordable prices and international level hygiene.
Best visit to give if with family.",3 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Tanay Rajwal,"The shop is very clean and well maintained with amazing and polite staff.
• The staff is very friendly and helpful.
• The place is normally crowded in the current season.
• Overall an excellent experience.",7 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,kanwerjeet singh lamba,"Very good food joint, serving very tasty, mouth watering variety of dishes to  your stomach's content.",a month ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Ankit Boora,So much sweet sweets here but i think they are compromise in quality. Need to improve the quality of their sweets.,2 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,harshit sultania,This haldiram outlet is small but very attractive. The interior is good. However being haldiram .. means a lot of customers..i.e why you might find some trouble finding a seat on peak days. The menu is very good. The staffs are very cooperative. PS - u won't find hand made lassi here. Thankyou very much,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Revanth,"The best place in Delhi and CP to enjoy street food and get a quick bite. They have all cuisines from India, including South, north, Gujarati, Bengali and more. 
Must visit.",4 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Shubham Varshney,Have two ticket counters both on first floor and ground floor... Cleanliness and food quality A1... The place is having good choice for all type of moods in vegetarian food... Sweets are also available down here!!!,5 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Tarish Malhotra,"Nice ambiance. Good variety of food. Prices extremely reasonable but no compromise on quality. Kulfi is very delicious. Chola bhatura, South Indian and pasta are very tasty. Staff are very helpful and go out of their way. The best part is their willingness to adjust to kid's requirements.",3 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Sameer Pradhan,Little pricey but got all options. Don’t try the South Indian dishes. Sweets are good.,2 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,junaid riaz,Very difficult to find a nice veg restaurant to eat in that area. Great place for veg lovers....,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Rahul Nair,"Awesome food, but what a terrible road!! Was under construction when we last visitee. Now, I loved the Thalis we got packed for our train dinner, but when in Delhi look for options. I mean c'mon you're in Delhi, not just the capital of India but the capital of street food. Well this place is hygienic, has lovely taste and variety. No doubt. But it is always heavily crowded,  priced much higher than usual outlets in Delhi. Agreed its a brand name, but pricing could have been more competitive. All the best anyways, and the food was great!",3 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,karan khanuja,Family's Favourite. My dad used to take us everytime we visit Delhi & Gurdwara Sis Ganj as well. Miss those days,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Pranav Singh,"Crowdy place because they maintain the quality and taste, this time tried chhote bhature and rabri rasmalai, both were awesome",2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Vaibhav Baid,"Ordered Chinese, food was not well prepared. Definitely not upto quality of Haldiram. Ambience and light not Pleasing to eyes.",2 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Md Owais,"Chole bhature and raj kachori are incredible.
Classic indian style food.",2 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Anuj Dubey,"Haldiram sweets is located near Sisganj Gurudwara (one of the famous and historical Gurudwara located at chandani chowk). This Location of walled city is also marked by Red Fort in its left hand. Back side of Haldiram has Chandani chowk metro station, and old Delhi railway station  Haldiram is a major food chain serving food across Delhi. It operates in packed food and cooked food in ready to eat form. Now it has also started semi cooked food or ready to cooked dishes. 
 Haldiram Sweets is famous for Vegetarian food, sweets, snacks. Every vegetarian dish that you want to satisfy your taste buds. It delivers amazing taste and wonderful quality food in every bite. You can find fresh sweets every time you visit. The variety in sweets it has is amazing. Sweets are mouth Watering for sweet lovers. Even snacks are also good in taste. You may choose snacks from wide range representing different flavors from south India and north India. This walled city is famous for food and oldest culture. The community live here share the values of different religion. Nearby area also has presence of JAMMA MASJID. Near by area of JAMMA MASJID has non-vegetarian food in it vicinity. Old Delhi is famous for its food variety that it offers.",2 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Sanjeet Sharma,"Highly Recommended!!! The Salad!it is by far the best salad in the whole world.I have never had such mouthwatering salad which is so nutritious at the same time... must try if you are in Chandni Chowk ,I go there every Tuesday so I am gonna have it like forever 🙃😅",5 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Nishant Rana,Service was not good. Workers are very slow. They took approx 1 hr. to make a simple papdi chat. Food was good but not the service.,3 months ago, 2 stars 
ChIJowswABv9DDkRlIwWegNm4LA,swastik Sharma,"Best Indian taste you can get is haldiram , quality food , service is best , drinking facility available , self service , sitting arrangement is quite large so no is you want to sit and then eat it is available orr if you want to just stand and eat it is also there . conclusion is you can eat here without thinking of hygiene and you will get best taste",3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Himanshu Singh,Too Good for everyone with too much varities in all type of food and sweet and also for foreigners with good management.😋😋👍👍,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Kunal Kuyaba,"The place was overcrowded. Had to wait hell lot of time to get our orders, this souring the whole mood. To be honest the food wasn't good either. Disappointed in this visit.",3 months ago, 2 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Raman Sharma,Very good place for desert and snacks. Specially Raj Kachori I loved it😍😍,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,vipul choudhary,"Quality taste and trust 
Great place for quick bites delicious snacks with being really hygienic!",3 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Kunal Khurana,"The Holy Mecca of food for locals & travelers coming to Chandni Chowk. Old Delhi has some of the best & most cherished eateries spread around the perimeter but those of you who are not that much experimental with food or just want to eat from some place nice & clean then this is for you. Lately, Haldiram's has developed itself into something of a Jack of all trades as far as covering multiple cuisines is concerned. There is always something for everyone & you will always be satisfied, that is if you don't mind the endless queuing of people hunting for tables all around.",6 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Abhishek Notwani,"A must visit place if you are visiting Chandni Chowk, yummy sweet's and awesome food and cleanest food shop.",2 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Meenal Chand,A little expensive but a less crowded and safe place amidst crowdy chandni chowk.,2 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Rajiv Seth,Very nice place for sweets & snacks. Grab eateries of your choice. Excellent quality. Good hygiene maintained.,6 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Harish Sharma,Nice place  to eat breakfast launch nd dinner also. U love to visit again nd again here,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,11 Quresh,"I love SAMOSA and DHOKLA
Place is good cleanliness is 5 stars
Toilet were clean sitting and standing arrangements available for you when you want to eat. Price should be less.
And one thing , please make your all items little bit big okay. Size matter
Itna sa samosa Kar Diya Yaar...
Baqi khaney ka jawaab Nahi.",3 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,aj Works,"It's near Chandni Chownk that's why it's very busy place for hungers. I try chole bhature with Mint Mojito and it's ok rating. If you are near the place then you can try this food. Haldiram is very famous brand in food industry. And they have very vast verity in food, snacks and sweets. It's a international brand also. That's all folks...",2 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,SP Ghose,Halfiram has so variety of Indian foods.... Must go place for food lovers with sweet teeth...It is the entry point of Chadni Chawk...so grab sweets and fulfill wife's shopping,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,alok tiwari,Very crowded place and very slow service price is too...high for the quality of food and there is suffocation occur when crowd overloads even in the winters,5 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Akshay Kansal,"Food is superb as usual , there is self service so no issue of Service.
But negative point is all-time rush which leads to delay in getting ur order served .
Else an easy and good option for quality food outlet in this area.",3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,A K Pal,"Always a pleasure to visit this outlet for quick snacks.
Badam milk was excellent.",3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Rudra Gupta,"Good place and ambience
Usually crowded
They are having two floor ground and first floor for seating. 
And especially they have separate office for bulk booking of gift item",2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Durganshu Mishra,"The food items are available at a reasonable cost (considering taste, quality, quantity, price and brand value of Haldiram's). The place is usually crowded (given it's located in Chandani Chowk).",4 months ago, 4 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Kunal Budhiraja,Awesome Foods..... Specially South Indian wonderful experience,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Akshay Vashisht,A bit pricey but definitely worth the money plus super clean,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,srishty malhotra,very crowded place and couldn't enjoy because of that. food was good. but management was not good,5 months ago, 3 stars 
ChIJowswABv9DDkRlIwWegNm4LA,vikash bardia,"As always Haldiram always keep up with it's name, spread and quality. They also have live pasta counter, which was a good thing to have specially during winter. For North Indian, Chinese, chats and array of sweets, Haldiram will be one of my top choice.",4 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Lakshit Kankariya,Delicious food. Had a great and wonderful experience and breakfast.,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Shubham Kamboj,Good quality food. And cleaning is also good.,3 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,maroof alam,Fresh and testy snakes over there also find different different types of Namkeen with unique design. Packing is too good also price is value for money...........,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Prashant Singh,Chhola bhatura is awesome and very affordable price.,2 months ago, 5 stars 
ChIJowswABv9DDkRlIwWegNm4LA,Pankaj Solanki,Good option for tourists and travellers near old Delhi railway station with mantained  hyginic food and nice ambience. As per standard of Haldiram...Tasty veg food and snacks 👍,3 months ago, 5 stars 
